Date,Open,High,Low,Close,Volume,Adj Close
2015-11-23,120.300003,120.650002,117.279999,118.669998,6603200,118.669998
2015-11-16,113.470001,120.25,113.339996,120.07,6932800,120.07
2015-11-09,115.900002,117.580002,114.379997,114.839996,7745900,114.839996
2015-11-02,114.489998,116.830002,110.809998,115.669998,12782800,115.669998
2015-10-26,113.07,115.400002,112.120003,113.739998,6489200,113.739998
2015-10-19,108.25,114.209999,107.940002,113.089996,8810300,113.089996
2015-10-12,105.910004,108.50,105.230003,108.239998,6266200,108.239998
2015-10-05,103.699997,106.050003,102.610001,105.559998,6864300,105.559998
2015-09-28,99.900002,103.470001,97.769997,103.00,8663100,103.00
2015-09-21,103.68,103.830002,99.239998,100.300003,7799400,100.300003
2015-09-14,104.650002,105.949997,101.830002,102.839996,8735400,102.839996
2015-09-08,102.949997,104.949997,101.330002,104.480003,9126300,104.480003
2015-08-31,102.300003,103.029999,99.160004,100.970001,10577700,100.970001
2015-08-24,93.379997,103.339996,90.00,102.480003,18186000,102.480003
2015-08-17,107.300003,109.279999,96.610001,98.839996,18930200,98.839996
2015-08-10,110.00,111.00,105.510002,107.160004,11743300,107.160004
2015-08-03,120.879997,122.080002,104.239998,109.349998,30438800,109.349998
2015-07-27,118.629997,120.720001,117.779999,120.00,5541400,120.00
2015-07-20,119.290001,119.900002,118.57,118.910004,4617500,118.910004
2015-07-13,117.75,119.150002,117.25,118.860001,5776400,118.860001
2015-07-06,114.470001,117.43,114.269997,116.440002,7344600,116.440002
2015-06-29,114.160004,115.669998,113.00,114.970001,6387400,114.970001
2015-06-22,113.400002,115.279999,113.269997,114.989998,6653700,114.325081
2015-06-15,109.269997,113.550003,108.93,112.620003,6168000,111.968796
2015-06-08,110.029999,110.959999,107.650002,109.949997,5590900,109.314224
2015-06-01,111.480003,111.82,109.800003,110.300003,5157300,109.662209
2015-05-26,110.169998,110.849998,108.760002,110.370003,4652900,109.731804
2015-05-18,110.470001,110.989998,109.900002,110.260002,4592000,109.622437
2015-05-11,110.139999,110.690002,107.669998,110.300003,5545800,109.662209
2015-05-04,111.480003,113.300003,108.720001,110.110001,9142500,109.473305
2015-04-27,111.50,111.660004,107.68,110.519997,7160700,109.880928
2015-04-20,107.830002,110.480003,106.970001,109.529999,5814700,108.89666
2015-04-13,107.07,108.300003,106.040001,106.690002,5988100,106.073082
2015-04-06,105.309998,107.099998,105.040001,106.949997,4060200,106.331573
2015-03-30,106.059998,106.949997,104.25,106.00,4825500,105.38707
2015-03-23,108.599998,108.849998,104.099998,105.480003,5674200,104.870079
2015-03-16,106.839996,108.940002,105.730003,108.43,6002600,107.803017
2015-03-09,103.940002,107.330002,102.870003,106.440002,6985600,105.824524
2015-03-02,104.349998,106.639999,103.489998,103.82,4987700,103.219673
2015-02-23,104.760002,105.980003,103.959999,104.080002,5088700,103.478172
2015-02-17,104.230003,104.690002,102.730003,104.550003,4702600,103.945457
2015-02-09,101.800003,104.410004,101.07,104.169998,5809700,103.56765
2015-02-02,91.300003,102.989998,90.059998,102.019997,15385300,101.430077
2015-01-26,94.449997,95.00,90.830002,90.959999,6985800,90.434036
2015-01-20,95.220001,95.529999,93.75,94.720001,6773500,94.172295
2015-01-12,94.690002,96.43,93.290001,95.18,6845800,94.629631
2015-01-05,93.279999,95.269997,91.160004,94.25,7474500,93.705009
2014-12-29,94.739998,95.93,92.849998,93.75,4434200,93.207901
2014-12-22,93.389999,95.309998,93.220001,95.029999,4542500,94.480499
2014-12-15,92.029999,93.199997,90.129997,92.889999,8481500,92.352875
2014-12-08,94.209999,94.50,90.660004,91.489998,8533300,90.960968
2014-12-01,92.629997,93.980003,92.099998,93.760002,6017200,92.047913
2014-11-24,89.32,92.959999,89.32,92.510002,5591900,90.82074
2014-11-17,90.50,90.779999,88.75,88.959999,6460900,87.335564
2014-11-10,90.239998,90.849998,88.949997,90.800003,5738600,89.141968
2014-11-03,91.239998,92.00,88.650002,90.00,9302400,88.356575
2014-10-27,88.470001,91.980003,88.239998,91.379997,5508700,89.711372
2014-10-20,84.230003,88.660004,84.150002,88.610001,7793900,86.991959
2014-10-13,85.919998,86.389999,78.540001,83.830002,13017900,82.29924
2014-10-06,88.790001,89.18,85.400002,86.269997,7734900,84.694679
2014-09-29,88.120003,89.540001,84.650002,88.449997,7225100,86.834877
2014-09-22,90.489998,90.610001,87.910004,88.739998,5925900,87.119576
2014-09-15,89.739998,91.150002,89.459999,90.489998,6203800,88.837624
2014-09-08,90.760002,90.839996,88.75,89.669998,4432300,88.0326
